id,name,brand,price,unit,description,category,empfohlene_klasse
1055,"Schnellhefter A4, Kunststoff lila",Durable,0.5,Stück,"Kunststoff-Schnellhefter für Klassenarbeiten und Arbeitsblätter, Format DIN A4, Farbe lila.",Schnellhefter & Ordner,alle
1056,"Heft DIN A5 blanko, Lineatur 6 (16 Blatt)",Brunnen,0.99,Stück,"Leeres Heft ohne Vorschriften (blanko) für freies Schreiben und Zeichnen, 16 Blatt.",Hefte & Blöcke,5-10
1057,"Heft DIN A4 blanko, Lineatur 6 (16 Blatt)",Brunnen,0.99,Stück,"Leeres Heft ohne Vorschriften (blanko) für freies Schreiben und Zeichnen, 16 Blatt.",Hefte & Blöcke,5-10
1059,"Heft DIN A4 kariert, Lineatur 40 (16 Blatt, umlaufender Rand)",Brunnen,0.5,Stück,"Schulheft mit umlaufendem Rand, kariert 5x5 mm, für Mathematik und Notizen, 16 Blatt.",Hefte & Blöcke,5-10
1060,"Umschlag DIN A4, hellblau",Brunnen,0.45,Stück,"Einband-Umschlag aus festem Papier, Format DIN A4, Farbe hellblau, zum Schutz von Heften.",Umschläge & Einbände,alle
1061,"Umschlag DIN A4, dunkelblau",Brunnen,0.45,Stück,"Einband-Umschlag aus festem Papier, Format DIN A4, Farbe dunkelblau, zum Schutz von Heften.",Umschläge & Einbände,alle
1062,"Umschlag DIN A4, transparent",Brunnen,0.45,Stück,"Transparenter Einband-Umschlag aus Kunststoff, Format DIN A4, zum Schutz von Heften und Mappen.",Umschläge & Einbände,alle
1063,"Vokabelheft DIN A5, Lineatur 53 (16 Blatt, zweispaltig)",Brunnen,0.99,Stück,"Vokabelheft für Fremdsprachen, Klasse 2+. Zweispaltige Anordnung, kariert 5x5 mm, 16 Blatt.",Hefte & Blöcke,5-10
1064,"Vokabelheft DIN A4, Lineatur 54 (16 Blatt, dreispaltig)",Brunnen,0.99,Stück,"Vokabelheft für Fremdsprachen. Dreispaltige Anordnung, kariert 5x5 mm, 16 Blatt.",Hefte & Blöcke,5-10
1065,"Federmäppchen, 2-geteilt (ohne Inhalt)",Brunnen,5.99,Stück,"Leeres Federmäppchen mit zwei Hauptfächern und integriertem Stiftehalter, für Stifte, Radiergummi und Spitzer.",Schreibgeräte & Zubehör,alle
1066,"Klebestift 20g, lösungsmittelfrei",Pelikan,1.29,Stück,"Praktischer Klebestift für Papier und Pappe, 20 g, ideal für Bastelarbeiten im Kunstunterricht.",Malen & Zeichnen,alle
1067,"Wachsmalstifte 12er Set, dick",Staedtler,1.99,Packung,"12 dicke Wachsmalstifte (Wachskreiden) mit intensiven Farben, besonders griffig für kleine Kinderhände.",Malen & Zeichnen,alle
1068,Fasermaler 10er Set (dünn),Staedtler,3.99,Packung,"10 Fasermaler/Fineliner mit feiner Spitze (0,8 mm) für sauberes Schreiben, Malen und Unterstreichen, wasserbasierte Tinte.",Schreibgeräte & Zubehör,alle
1069,"Kugelschreiber blau, nachfüllbar",Pelikan,1.29,Stück,"Dokumentenechter Kugelschreiber mit blauer Mine, ergonomischer Gummigriff, für Klasse 3+ geeignet.",Schreibgeräte & Zubehör,alle
1070,"Hausaufgabenheft A5, Schuljahr 2026/2027",Brunnen,2.99,Stück,"Hausaufgabenheft für das Schuljahr 2026/2027, Wochenübersicht mit Platz für Fächer, Hausaufgaben und Elternunterschrift.",Hefte & Blöcke,alle
1071,"Taschenrechner (wissenschaftlich, 10-stellig)",Casio,9.99,Stück,"Einfacher wissenschaftlicher Taschenrechner mit 10-stelligem Display, ideal für Mathematik ab Klasse 5.",Geometrie & Messen,alle
1072,"Ringordner A4, 4-Ring, 80 mm Rückenbreite",Durable,2.99,Stück,"Kunststoff-Ringordner (4-Ring-Mechanik) für DIN A4, 80 mm Rückenbreite, Fassungsvermögen ca. 500 Blatt.",Schnellhefter & Ordner,alle
1073,"Trennblätter A4, 5-teilig, farbig",Brunnen,1.49,Stück,"5 farbige Register-Trennblätter für Ringordner, beschriftbar, zum Sortieren von Arbeitsblättern nach Fächern.",Schnellhefter & Ordner,alle
1074,"Klarsichthüllen A4, transparent, 10 Stück",Brunnen,1.99,Packung,"10 transparente Klarsichthüllen aus PP-Folie, dokumentenecht, zum Abheften von losen Arbeitsblättern.",Schnellhefter & Ordner,alle
1075,"Bastelschere rund, 13 cm (Linkshänder)",Prym,2.49,Stück,"Bastelschere mit runder Spitze für Linkshänder, 13 cm Länge, speziell konische Schneiden für sauberen Schnitt.",Schreibgeräte & Zubehör,alle
1076,"Radiergummi knetbar, weich",Faber-Castell,0.99,Stück,"Knetbarer Radiergummi für weiche Bleistiftzeichnungen, lässt sich formen und radiert rückstandsfrei.",Schreibgeräte & Zubehör,alle
1077,"Buchschoner (flexible Hülle) A4, transparent, 5 Stück",Brunnen,2.49,Packung,"5 flexible, abwaschbare Kunststoff-Hüllen zum Schützen von Schulbüchern, Format DIN A4.",Umschläge & Einbände,alle
1078,"Malkittel / Kinderschürze, langarm, wasserdicht (Größe 128)",Pelikan,4.99,Stück,"Wasserdichter Malkittel mit langen Ärmeln, schützt Kleidung vor Farben und Kleber, ideal für Kunstunterricht.",Malen & Zeichnen,alle
1079,"Notenheft DIN A4 liniert, Musik (16 Blatt)",Brunnen,0.99,Stück,"Musikheft mit vorgedruckten Notenlinien (5 Linien), 16 Blatt, für den Musikunterricht.",Hefte & Blöcke,alle
1080,"Spiralblock A4 kariert (80 Blatt), mit Mikroperforation",Brunnen,1.99,Stück,"Spiralgebundener Block mit 80 Blatt kariertem Papier, Mikroperforation zum einfachen Heraustrennen.",Hefte & Blöcke,alle
1081,"Haftnotizen (Post-it) 76x76 mm, 100 Blatt, gelb",3M,1.49,Packung,"100 selbstklebende Haftnotizen im Quadratformat, für Markierungen und schnelle Notizen.",Organisation & Planung,alle
1082,"Karteikasten A5, aus Karton, für Karteikarten",Brunnen,2.99,Stück,"Stabiler Karteikasten im Format A5, ideal für Vokabelkarten und Lernkarteien.",Organisation & Planung,alle
1083,"Karteikarten A5, blanko, 100 Stück",Brunnen,1.29,Stück,100 weiße Karteikarten im Format A5 (blanko) zum selbstständigen Beschriften für die Lernkartei.,Organisation & Planung,alle
1084,"Tintenkiller (Tintenlöscher) blau, mit Korrekturschreiber",Pelikan,1.79,Stück,2-in-1-Tintenkiller: Löscht königsblaue Füllertinte und überschreibt mit blauem Korrekturschreiber.,Schreibgeräte & Zubehör,alle
1085,"Druckbleistift 0,7 mm, nachfüllbar, mit Radiergummi",Staedtler,2.49,Stück,"Mechanischer Bleistift mit 0,7 mm Minenstärke, rutschfestem Griff und integriertem Radierer.",Schreibgeräte & Zubehör,alle
1086,"Druckbleistift-Minen 0,7 mm, HB, 12er Pack",Staedtler,0.99,Packung,"Ersatzminen für Druckbleistifte, 0,7 mm, Härtegrad HB, 12 Minen im Kunststoffetui.",Schreibgeräte & Zubehör,alle
1087,"Tintenpatronen blau, Pelikan 4001 (6er Pack)",Pelikan,1.79,Packung,"6 königsblaue Tintenpatronen, passend für alle gängigen Füller (Standard-Größe), wasserlöslich.",Schreibgeräte & Zubehör,3-4
1088,"Füller (Anfänger) Pelikan Twist, Federstärke M",Pelikan,5.99,Stück,"Einsteiger-Füllfederhalter mit ergonomischem, dreieckigem Griff (für Rechts- und Linkshänder), mittlere Feder.",Schreibgeräte & Zubehör,3-4
1089,"USB-Stick 32 GB, USB 3.0, mit Schlüsselring",Intenso,6.99,Stück,"32 GB USB-Stick mit hoher Übertragungsgeschwindigkeit, für digitale Hausaufgaben und Präsentationen.",Digitale & technische Hilfsmittel,alle
1090,"Geometrie-Schablone (Kreise, Dreiecke, Ovale), 16 cm",Aristo,1.99,Stück,"Zeichenschablone mit geometrischen Formen (Kreise, Dreiecke, Ovale) für den Technik-/Matheunterricht.",Geometrie & Messen,alle
1091,"Lineal 15 cm, transparent, für Federmäppchen",Brunnen,0.79,Stück,"Kurzes transparentes Lineal, 15 cm, passend für jedes Federmäppchen, bruchsicher.",Geometrie & Messen,alle
1092,"Schulwörterbuch Deutsch (Duden, Grundschule)",Duden,12.0,Stück,"Rechtschreib- und Bedeutungswörterbuch für die Grundschule, mit farbiger Markierung und Beispielsätzen.",Bücher & Lernhilfen,alle
1093,"Korrekturroller (Tipp-Ex) 5 m x 5 mm, weiß",Pelikan,1.99,Stück,"Korrekturroller zum Übermalen von Tinte und Bleistift, Trocken sofort überschreibbar, 5 m Bandlänge.",Schreibgeräte & Zubehör,alle
1094,"Wasserbecher (Kunststoff), 2er Pack, für Wasserfarben",Brunnen,0.99,Packung,"2 robuste Kunststoffbecher zum Ausspülen von Pinseln beim Malen, standsicher und auslaufsicher.",Malen & Zeichnen,alle
1095,"Mischpalette (Kunststoff), mit 12 Näpfchen",Pelikan,1.49,Stück,Kunststoffpalette mit 12 kleinen Farbnäpfchen und zentraler Mischfläche für Wasser- und Acrylfarben.,Malen & Zeichnen,alle
1096,"Zeichenmappe A3 (2 Klappen), für lose Blätter",Brunnen,3.49,Stück,"Große Zeichenmappe aus stabilem Karton mit 2 Klappen, ideal zum Sammeln und Transport von Zeichnungen.",Malen & Zeichnen,alle
